nummer,naam stier,gebjr,run nummer,basis,kicode,owner,base,rel NVI,NVI,source production,rel Inet,dochters productie,milk,fat,protein,lactose,rel milk,rel fat,rel prot,rel lact,source dmi,daughters dmi,rel dmi direct,rel dmi incl voorspellers,rel bvo,rel bvk,dmi direct,dmi incl voorspellers,FSM,FSCM,bvo obv selectieindex,rel bvo new,diff bvo
HOLDEUM001306189564,LAZARO,2020,241,1,783693,IM03,2024HC,69,191,G,72,0,973,45,51,50,78,78,72,81,G,0,47,72,50,50,113,240,-49,-48,-48,50,-1
HOLNLDM000673516954,DELTA STORMER,2022,241,1,942941,CO60,2024HC,70,258,G,76,0,1538,59,64,76,83,81,76,76,G,0,48,73,51,51,81,237,19,18,0,51,19
HOLNLDM000444096917,DELTA NASA,2006,241,1,977924,CO60,2024HC,91,-167,E,96,180,-513,-46,-32,-19,97,97,96,97,E,0,55,77,61,61,-90,-176,30,29,49,61,-19
HOLNLDM000684617547,DELTA SHELTER,2018,241,1,942097,CO60,2024HC,91,102,E,`,508,627,21,17,37,97,97,96,97,E,2,50,76,60,60,31,109,-15,-15,-20,60,5
HOLNLDM000634763225,HARPET SEM,2022,241,1,942939,CO60,2024HC,70,224,G,75,0,1885,50,53,97,82,81,75,75,G,0,49,73,51,51,132,286,-42,-41,-39,51,-3
HOLNLDM000534083009,SKALSUMER HUGO,2010,241,1,940450,CO60,2024HC,90,-32,E,96,167,58,13,2,1,97,97,96,97,E,0,54,77,61,61,4,13,17,16,9,61,8
HOLNLDM000484909592,KEESOM DELTA TIPPER,2007,241,1,978780,CO60,2024HC,89,-159,E,95,111,406,-34,-3,23,96,96,95,96,E,0,55,77,61,61,-14,-27,-27,-26,-8,61,-19
HOLNLDM000694704392,WILLEM'S-HOEVE WILLEM'S HOEVE,2009,241,1,940051,CO60,2024HC,92,-118,E,97,228,-1005,-26,-18,-43,98,98,97,98,E,0,54,77,61,61,-167,-172,62,60,57,61,5
HOLNLDM000444096296,DELTA PARADOX,2006,241,1,978099,CO60,2024HC,89,-264,E,95,129,-213,-26,-26,-15,96,96,95,96,E,0,54,77,61,61,-45,-109,14,14,28,61,-14
HOLNLDM000734278627,DELTA TITANIUM,2010,241,1,940429,CO60,2024HC,98,12,E,99,15014,74,6,-8,0,99,99,99,99,E,43,82,87,76,76,18,21,-17,-16,-12,76,-5
HOLNLDM000934345138,DELTA TRADING,2011,241,1,940710,CO60,2024HC,91,-59,E,97,199,-488,-22,-7,-12,97,97,97,97,E,2,54,77,61,61,-44,-5,-59,-57,-38,61,-21
HOLNLDM000474824951,DELTA OPPONENT,2006,241,1,978021,CO60,2024HC,90,-290,E,96,146,42,-51,-19,0,97,97,96,97,E,0,51,76,60,60,-6,-122,-4,-4,21,60,-25
HOLNLDM000474825675,DELTA RANDALL,2007,241,1,978207,CO60,2024HC,88,-257,E,94,100,-982,-69,-49,-49,96,96,94,96,E,0,51,76,59,59,-88,-209,-29,-28,14,59,-43
HOLNLDM000574933977,DELTA WAKE UP,2020,241,1,942452,CO60,2024HC,78,192,G,83,0,-16,60,27,-4,88,87,83,87,G,0,51,74,54,54,-25,81,69,67,26,54,43
