datetime,temp_wew,rh
2016-02-03 11:00:00,19.5,60.1
2016-02-03 12:00:00,20.5,57.6
2016-02-03 13:00:00,20.5,55
2016-02-03 14:00:00,20,53.9
2016-02-03 15:00:00,19.5,53.8
2016-02-03 16:00:00,18.5,55
2016-02-03 17:00:00,18,59.6
2016-02-03 18:00:00,17.5,61.5
2016-02-03 19:00:00,17.5,66.3
2016-02-03 20:00:00,17,66.9
2016-02-03 21:00:00,17,63.1
2016-02-03 22:00:00,16.5,64
2016-02-03 23:00:00,16.5,62.2
2016-02-04 00:00:00,16,64
2016-02-04 01:00:00,15.5,65
2016-02-04 02:00:00,15.5,66.7
2016-02-04 03:00:00,15.5,65.2
2016-02-04 04:00:00,15.5,69.2
2016-02-04 05:00:00,15,70.4
2016-02-04 06:00:00,15.5,73.5
2016-02-04 07:00:00,15.5,73.9
2016-02-04 08:00:00,17.5,75.1
2016-02-04 09:00:00,17.5,77
2016-02-04 10:00:00,18.5,73.4
2016-02-04 11:00:00,19.5,77.4
2016-02-04 12:00:00,20,75.1
2016-02-04 13:00:00,20.5,75.4
2016-02-04 14:00:00,20,71.6
2016-02-04 15:00:00,19.5,72
2016-02-04 16:00:00,20,76.8
2016-02-04 17:00:00,19.5,80.2
2016-02-04 18:00:00,19,80.1
2016-02-04 19:00:00,19,79.8
2016-02-04 20:00:00,19,76
2016-02-04 21:00:00,19,79.7
2016-02-04 22:00:00,19,82
2016-02-04 23:00:00,19,77.8
2016-02-05 00:00:00,19,80.7
2016-02-05 01:00:00,18.5,79
2016-02-05 02:00:00,18.5,79.6
2016-02-05 03:00:00,18.5,77.7
2016-02-05 04:00:00,18.5,77.9
2016-02-05 05:00:00,18.5,79.2
2016-02-05 06:00:00,19,80.5
2016-02-05 07:00:00,19,77.4
2016-02-05 08:00:00,19.5,74
2016-02-05 09:00:00,19.5,75.1
2016-02-05 10:00:00,19.5,74
2016-02-05 11:00:00,20.5,72.1
2016-02-05 12:00:00,20.5,67.9
2016-02-05 13:00:00,20.5,68.7
2016-02-05 14:00:00,20,64.5
2016-02-05 15:00:00,20,63.4
2016-02-05 16:00:00,19.5,61.7
2016-02-05 17:00:00,19.5,64.4
2016-02-05 18:00:00,19,67
2016-02-05 19:00:00,18,67.4
2016-02-05 20:00:00,19,68.7
2016-02-05 21:00:00,19,70.9
2016-02-05 22:00:00,19,75.6
2016-02-05 23:00:00,18.5,79.1
2016-02-06 00:00:00,18.5,78.5
2016-02-06 01:00:00,18.5,81.7
2016-02-06 02:00:00,18.5,79.4
2016-02-06 03:00:00,18.5,82.5
2016-02-06 04:00:00,18.5,81.6
2016-02-06 05:00:00,18.5,80.6
2016-02-06 06:00:00,19,82.2
2016-02-06 07:00:00,19,82.3
2016-02-06 08:00:00,19.5,80.5
2016-02-06 09:00:00,19.5,79.2
2016-02-06 10:00:00,19,78.8
2016-02-06 11:00:00,19,72.8
2016-02-06 12:00:00,18.5,67.3
2016-02-06 13:00:00,19,69.2
2016-02-06 14:00:00,19,68.7
2016-02-06 15:00:00,20,69.7
2016-02-06 16:00:00,20,70.9
2016-02-06 17:00:00,19.5,68.7
2016-02-06 18:00:00,19.5,71.7
2016-02-06 19:00:00,19,75.3
2016-02-06 20:00:00,18.5,70.3
2016-02-06 21:00:00,18.5,70.2
2016-02-06 22:00:00,19,69.1
2016-02-06 23:00:00,19,69.5
2016-02-07 00:00:00,19,72
2016-02-07 01:00:00,19,69
2016-02-07 02:00:00,19,70.8
2016-02-07 03:00:00,19,74.2
2016-02-07 04:00:00,19,75.4
2016-02-07 05:00:00,19,72.3
2016-02-07 06:00:00,19,81
2016-02-07 07:00:00,19,77.6
2016-02-07 08:00:00,19,76.7
2016-02-07 09:00:00,20,75.4
2016-02-07 10:00:00,20.5,66.2
2016-02-07 11:00:00,20,59.3
2016-02-07 12:00:00,20,57.4
2016-02-07 13:00:00,20,59.3
2016-02-07 14:00:00,20,55.7
2016-02-07 15:00:00,20,53.2
2016-02-07 16:00:00,20.5,62.9
2016-02-07 17:00:00,20.5,67.2
2016-02-07 18:00:00,20.5,64.4
2016-02-07 19:00:00,20.5,70.1
2016-02-07 20:00:00,20,73
2016-02-07 21:00:00,20,71.4
2016-02-07 22:00:00,20.5,74.7
2016-02-07 23:00:00,20.5,67.9
2016-02-08 00:00:00,20.5,68.3
2016-02-08 01:00:00,20.5,70.3
