"","animal","ID","lac12","lac_wk.","yearwk","yearmo","DIM","ch4clean","dfpcm"
"4","PL005349224377","PL005349224377",1,0,"2016--08","2016--02",5,299.065436922392,29.684025
"6","PL005349224506","PL005349224506",1,0,"2016--09","2016--03",5,560.843058734953,35.622477
"13","PL005349224377","PL005349224377",1,0,"2016--09","2016--02",6,340.854762755997,29.283172
"25","PL005349224506","PL005349224506",1,1,"2016--10","2016--03",7,456.188708808266,36.39251
"27","PL005368235019","PL005368235019",1,1,"2016--06","2016--02",8,415.05539934892,26.709088
"29","PL005349224742","PL005349224742",1,1,"2016--08","2016--02",8,375.498643624871,21.18398
"31","PL005349224506","PL005349224506",1,1,"2016--10","2016--03",8,368.616221120999,36.518224
"33","PL005368235019","PL005368235019",1,1,"2016--06","2016--02",9,306.554565571457,22.889036
"38","PL005349224742","PL005349224742",1,1,"2016--09","2016--02",9,343.502624044829,22.776525
"46","PL005368235071","PL005368235071",1,1,"2016--08","2016--02",10,191.533521313762,8.582376
"48","PL005349224506","PL005349224506",1,1,"2016--10","2016--03",10,456.075083574169,38.583552
"56","PL005349224377","PL005349224377",1,1,"2016--09","2016--03",11,321.710757635582,33.0573
"57","PL005349224742","PL005349224742",1,1,"2016--09","2016--03",11,315.015671271937,23.19152
"58","PL005349224506","PL005349224506",1,1,"2016--10","2016--03",11,347.947557394206,25.086672
"62","PL005349224551","PL005349224551",1,1,"2016--06","2016--02",12,542.876876234002,34.142796
"67","PL005368235071","PL005368235071",1,1,"2016--08","2016--02",12,196.389301744495,13.532976
"70","PL005349224506","PL005349224506",1,1,"2016--10","2016--03",12,427.896561701138,35.679183
"74","PL005349224551","PL005349224551",1,1,"2016--06","2016--02",13,556.847572646924,32.794601
"76","PL005368235019","PL005368235019",1,1,"2016--07","2016--02",13,247.070532321377,19.401348
"80","PL005349224377","PL005349224377",1,1,"2016--10","2016--03",13,358.456730718788,36.491708
"81","PL005349224506","PL005349224506",1,1,"2016--10","2016--03",13,409.316257328287,38.318808
"84","PL005251904404","PL005251904404",1,2,"2016--06","2016--02",14,565.831215851428,42.365856
"87","PL005368235019","PL005368235019",1,2,"2016--07","2016--02",14,355.214205252058,24.260061
"90","PL005368235071","PL005368235071",1,2,"2016--08","2016--02",14,249.29014679569,15.952524
"93","PL005349224742","PL005349224742",1,2,"2016--09","2016--03",14,372.906351213829,23.194896
"94","PL005349224377","PL005349224377",1,2,"2016--10","2016--03",14,332.107858159896,34.764167
"97","PL005251904404","PL005251904404",1,2,"2016--06","2016--02",15,558.368628522027,40.388238
"98","PL005349224551","PL005349224551",1,2,"2016--06","2016--02",15,335.300351996753,35.488992
"103","PL005251904718","PL005251904718",1,2,"2016--08","2016--02",15,230.019567225375,24.43038
"106","PL005368235071","PL005368235071",1,2,"2016--09","2016--02",15,255.413999605915,17.518878
"111","PL005251904404","PL005251904404",1,2,"2016--06","2016--02",16,331.745618333402,39.25914
"114","PL005368235019","PL005368235019",1,2,"2016--07","2016--02",16,380.352985779259,27.35832
"117","PL005251904718","PL005251904718",1,2,"2016--09","2016--02",16,250.046473422739,26.397838
"118","PL005349224742","PL005349224742",1,2,"2016--10","2016--03",16,392.863354715294,23.716
"121","PL005251904404","PL005251904404",1,2,"2016--06","2016--02",17,413.74027935141,39.533186
"123","PL005349224551","PL005349224551",1,2,"2016--07","2016--02",17,422.321467721423,38.236624
"129","PL005368235071","PL005368235071",1,2,"2016--09","2016--03",17,267.490454624739,19.729892
"131","PL005349224742","PL005349224742",1,2,"2016--10","2016--03",17,313.308877981931,18.868332
"133","PL005251904404","PL005251904404",1,2,"2016--06","2016--02",18,456.730347724405,40.124502
"136","PL005368235019","PL005368235019",1,2,"2016--07","2016--02",18,378.711539312006,25.742466
"144","PL005349224377","PL005349224377",1,2,"2016--10","2016--03",18,366.662099166187,32.856597
"148","PL005251904404","PL005251904404",1,2,"2016--07","2016--02",19,439.313714680841,40.060284
"149","PL005368235019","PL005368235019",1,2,"2016--07","2016--02",19,404.110480267513,25.859064
"154","PL005349224742","PL005349224742",1,2,"2016--10","2016--03",19,331.360189762601,20.702304
"157","PL005349224728","PL005349224728",1,2,"2016--06","2016--02",20,342.819249327712,25.72642
"160","PL005251904404","PL005251904404",1,2,"2016--07","2016--02",20,481.802372772352,38.093979
"161","PL005349224551","PL005349224551",1,2,"2016--07","2016--02",20,426.222071280416,36.99246
"167","PL005368235071","PL005368235071",1,2,"2016--09","2016--03",20,264.57880079638,21.552804
