"","animal","ID","lac12","lac_wk.","yearwk","yearmo","DIM","ch4clean","dfpcm","Sire","Dam"
"1","PL005227672382","PL005227672382",1,13,"2016--27","2016--07",93,406.543377583316,32.50437,"FR4460978633","PL005291246311"
"2","PL005227672382","PL005227672382",1,11,"2016--25","2016--06",81,437.909601338591,29.5299,"FR4460978633","PL005291246311"
"3","PL005227672382","PL005227672382",1,18,"2016--31","2016--08",126,346.440232068904,26.77209,"FR4460978633","PL005291246311"
"4","PL005227672382","PL005227672382",1,14,"2016--28","2016--07",103,499.241588080506,28.457457,"FR4460978633","PL005291246311"
"5","PL005227672382","PL005227672382",1,18,"2016--32","2016--08",127,432.264259417275,28.518912,"FR4460978633","PL005291246311"
"6","PL005227672382","PL005227672382",1,13,"2016--27","2016--07",95,432.329713871045,29.803464,"FR4460978633","PL005291246311"
"7","PL005227672382","PL005227672382",1,20,"2016--34","2016--08",143,328.67714385665,24.928252,"FR4460978633","PL005291246311"
"8","PL005227672382","PL005227672382",1,21,"2016--35","2016--09",153,397.767394406377,25.805016,"FR4460978633","PL005291246311"
"9","PL005227672382","PL005227672382",1,17,"2016--31","2016--08",123,433.766861241688,28.523144,"FR4460978633","PL005291246311"
"10","PL005227672382","PL005227672382",1,14,"2016--28","2016--07",99,466.784481019487,30.849815,"FR4460978633","PL005291246311"
"11","PL005227672382","PL005227672382",1,17,"2016--31","2016--08",124,355.469710139503,26.525691,"FR4460978633","PL005291246311"
"12","PL005227672382","PL005227672382",1,16,"2016--30","2016--07",118,495.518704024481,31.289888,"FR4460978633","PL005291246311"
"13","PL005227672382","PL005227672382",1,12,"2016--26","2016--07",89,429.921459689784,28.05201,"FR4460978633","PL005291246311"
"14","PL005227672382","PL005227672382",1,22,"2016--36","2016--09",157,354.77931523753,23.30952,"FR4460978633","PL005291246311"
"15","PL005227672382","PL005227672382",1,17,"2016--30","2016--07",119,374.095139965808,28.374489,"FR4460978633","PL005291246311"
"16","PL005227672382","PL005227672382",1,23,"2016--37","2016--09",167,272.37502413955,26.3445,"FR4460978633","PL005291246311"
"17","PL005227672382","PL005227672382",1,14,"2016--28","2016--07",100,390.762624747411,29.230425,"FR4460978633","PL005291246311"
"18","PL005227672382","PL005227672382",1,22,"2016--36","2016--09",159,326.133072655987,25.743564,"FR4460978633","PL005291246311"
"19","PL005227672382","PL005227672382",1,12,"2016--26","2016--06",86,361.14863996389,28.377128,"FR4460978633","PL005291246311"
"20","PL005227672382","PL005227672382",1,18,"2016--32","2016--08",128,404.902686229428,27.111762,"FR4460978633","PL005291246311"
"21","PL005227672382","PL005227672382",1,21,"2016--35","2016--09",151,322.075659282672,28.397526,"FR4460978633","PL005291246311"
"22","PL005227672382","PL005227672382",1,11,"2016--25","2016--06",82,410.811684361511,28.939302,"FR4460978633","PL005291246311"
"23","PL005227672382","PL005227672382",1,22,"2016--36","2016--09",158,332.134869384173,25.38525,"FR4460978633","PL005291246311"
"24","PL005227672382","PL005227672382",1,19,"2016--33","2016--08",138,409.74719224662,31.447926,"FR4460978633","PL005291246311"
"25","PL005227672382","PL005227672382",1,9,"2016--23","2016--06",68,358.568693866189,25.53328,"FR4460978633","PL005291246311"
"26","PL005227672382","PL005227672382",1,12,"2016--26","2016--06",85,451.048758886095,32.7348,"FR4460978633","PL005291246311"
"27","PL005227672382","PL005227672382",1,16,"2016--29","2016--07",112,347.028214722054,25.50625,"FR4460978633","PL005291246311"
"28","PL005227672382","PL005227672382",1,19,"2016--33","2016--08",134,410.773873996262,27.85743,"FR4460978633","PL005291246311"
"29","PL005227672382","PL005227672382",1,15,"2016--29","2016--07",106,435.197409410087,28.93167,"FR4460978633","PL005291246311"
